Rank,Title,Employees,Sector,Industry,Hqlocation,Hqcity,Hqtel,Ceo,Revenues,Profits,Assets,Totshequity
189,INTL FCStone,1464,Financials,Diversified Financials,"New York, NY",New York,212-485-3500,Sean M. O'Connor,14755,54.7,5951,434
190,WestRock,39000,Materials,"Packaging, Containers","Richmond, VA",Richmond,804-444-1000,Steven C. Voorhees,14706,-396.3,23038,9729
191,XPO Logistics,87000,Transportation,Transportation and Logistics,"Greenwich, CT",Greenwich,855-976-6951,Bradley S. Jacobs,14619,69,11698,2700
192,Aramark,217250,Business Services,Diversified Outsourcing Services,"Philadelphia, PA",Philadelphia,215-238-3000,Eric J. Foss,14416,287.8,10582,2161
193,CBS,18410,Media,Entertainment,"New York, NY",New York,212-975-4321,Leslie Moonves,14386,1261,24238,3689
194,AES,19000,Energy,Utilities: Gas and Electric,"Arlington, VA",Arlington,703-522-1315,Andres R. Gluski,14287,-1130,36119,2794
195,WellCare Health Plans,7400,Health Care,Health Care: Insurance and Managed Care,"Tampa, FL",Tampa,813-290-6200,Kenneth A. Burdick,14237,242.1,6153,2000
196,FirstEnergy,15707,Energy,Utilities: Gas and Electric,"Akron, OH",Akron,800-736-3402,Charles E. Jones,14156,-6177,43148,6241
197,Conagra Brands,20900,"Food, Beverages & Tobacco",Food Consumer Products,"Chicago, IL",Chicago,312-549-5000,Sean M. Connolly,14134,-677,13391,3714
198,Synnex,110000,Wholesalers,Wholesalers: Electronics and Office Equipment,"Fremont, CA",Fremont,510-656-3333,Kevin M. Murai,14062,234.9,5223,1976
199,CDW,8516,Technology,Information Technology Services,"Lincolnshire, IL",Lincolnshire,847-465-6000,Thomas E. Richards,13982,424.4,6948,1046
200,Textron,36000,Aerospace & Defense,Aerospace and Defense,"Providence, RI",Providence,401-421-2800,Scott C. Donnelly,13788,962,15358,5574
201,Waste Management,41200,Business Services,Waste Management,"Houston, TX",Houston,713-512-6200,James C. Fish Jr.,13609,1182,20859,5297
202,Illinois Tool Works,50000,Industrials,Industrial Machinery,"Glenview, IL",Glenview,847-724-7500,E. Scott Santi,13599,2035,15201,4254
203,Office Depot,38000,Retailing,Specialty Retailers: Other,"Boca Raton, FL",Boca Raton,561-438-4800,Gerry P. Smith,13585,529,5540,1852
204,Monsanto,22450,Chemicals,Chemicals,"St. Louis, MO",St. Louis,314-694-1000,Hugh Grant,13502,1336,19736,4534
205,Cognizant Technology Solutions,260200,Technology,Information Technology Services,"Teaneck, NJ",Teaneck,201-801-0233,Francisco D'Souza,13487,1553,14262,10728
206,Texas Instruments,29865,Technology,Semiconductors and Other Electronic Components,"Dallas, TX",Dallas,214-479-3773,Richard K. Templeton,13370,3595,16431,10473
207,Lincoln National,9057,Financials,"Insurance: Life, Health (Stock)","Radnor, PA",Radnor,484-583-1400,Dennis R. Glass,13330,1192,261627,14478
208,Newell Brands,53400,Household Products,"Home Equipment, Furnishings","Hoboken, NJ",Hoboken,770-418-7000,Michael B. Polk,13264,527.8,33838,11349
209,Land O’Lakes,10000,"Food, Beverages & Tobacco",Food Consumer Products,"Arden Hills, MN",Arden Hills,651-375-2222,Christopher J. Policinski,13233,244.9,8305,1904
210,Marsh & McLennan,60000,Financials,Diversified Financials,"New York, NY",New York,212-345-5000,Daniel S. Glaser,13211,1768,18190,6192
211,Ecolab,47565,Chemicals,Chemicals,"St. Paul, MN",St. Paul,800-232-6522,Douglas M. Baker Jr.,13153,1229.6,18330,6901
212,C.H. Robinson Worldwide,14125,Transportation,Transportation and Logistics,"Eden Prairie, MN",Eden Prairie,952-937-8500,John P. Wiehoff,13144,513.4,3688,1258
213,Loews,15800,Financials,Insurance: Property and Casualty (Stock),"New York, NY",New York,212-521-2000,James S. Tisch,13105,654,76594,18163
214,CBRE Group,75000,Financials,Real Estate,"Los Angeles, CA",Los Angeles,213-613-3333,Robert E. Sulentic,13072,572,10780,3015
215,Kinder Morgan,11121,Energy,Pipelines,"Houston, TX",Houston,713-369-9000,Steven J. Kean,13058,708,80305,34431
216,Kellogg,37369,"Food, Beverages & Tobacco",Food Consumer Products,"Battle Creek, MI",Battle Creek,269-961-2000,John A. Bryant,13014,694,15111,1910
217,Western Digital,72878,Technology,Computer Peripherals,"Irvine, CA",Irvine,949-672-7000,Stephen D. Milligan,12994,242,32862,11145
218,Guardian Life Ins. Co. of America,8876,Financials,"Insurance: Life, Health (Mutual)","New York, NY",New York,212-598-8000,Deanna M. Mulligan,12919,263.9,70339,6172.5
219,Ross Stores,78600,Retailing,Specialty Retailers: Apparel,"Dublin, CA",Dublin,925-965-4400,Barbara Rentler,12867,1117.7,5309,2748
220,L Brands,59100,Retailing,Specialty Retailers: Apparel,"Columbus, OH",Columbus,614-415-7000,Leslie H. Wexner,12574,1158.1,8170,-729
221,J.C. Penney,106000,Retailing,General Merchandisers,"Plano, TX",Plano,972-431-1000,Marvin R. Ellison,12547,1,9314,1354
222,Farmers Insurance Exchange,13309,Financials,Insurance: Property and Casualty (Mutual),"Woodland Hills, CA",Woodland Hills,323-932-3200,Jeffrey J. Dailey,12513,-147.9,16057,4219
223,Reynolds American,5525,"Food, Beverages & Tobacco",Tobacco,"Winston-Salem, NC",Winston-Salem,336-741-2000,Debra A. Crew,12503,6073,51095,21711
224,Viacom,9650,Media,Entertainment,"New York, NY",New York,212-258-6000,Robert Bakish,12488,1438,22508,4277
225,Becton Dickinson,50928,Health Care,Medical Products and Equipment,"Franklin Lakes, NJ",Franklin Lakes,201-847-6800,Vincent A. Forlenza,12483,976,25586,7633
226,Micron Technology,31400,Technology,Semiconductors and Other Electronic Components,"Boise, ID",Boise,208-368-4000,Sanjay Mehrotra,12399,-276,27540,12080
227,Principal Financial,14854,Financials,"Insurance: Life, Health (Stock)","Des Moines, IA",Des Moines,515-247-5111,Daniel J. Houston,12394,1316.5,228014,10227
228,Arconic,41500,Aerospace & Defense,Aerospace and Defense,"New York, NY",New York,212-836-2758,David P. Hess,12394,-941,20038,5115
229,NRG Energy,8763,Energy,Energy,"Princeton, NJ",Princeton,609-524-4500,Mauricio Gutierrez,12351,-774,30355,2041
230,VF,69000,Apparel,Apparel,"Greensboro, NC",Greensboro,336-424-6000,Steven E. Rendle,12207,1074.1,9739,4941
231,Devon Energy,3545,Energy,"Mining, Crude-Oil Production","Oklahoma City, OK",Oklahoma City,405-235-3611,David A. Hager,12197,-3302,25913,5927
232,D.R. Horton,6976,Engineering & Construction,Homebuilders,"Fort Worth, TX",Fort Worth,817-390-8200,David V. Auld,12157,886.3,11559,6793
233,Bed Bath & Beyond,62000,Retailing,Specialty Retailers: Other,"Union, NJ",Union,908-688-0888,Steven H. Temares,12104,841.5,6499,2560
234,Consolidated Edison,14960,Energy,Utilities: Gas and Electric,"New York, NY",New York,212-460-4600,John McAvoy,12075,1245,48255,14298
235,Edison International,12390,Energy,Utilities: Gas and Electric,"Rosemead, CA",Rosemead,626-302-2222,Pedro J. Pizarro,11869,1311,51319,11996
236,Sherwin-Williams,42550,Chemicals,Chemicals,"Cleveland, OH",Cleveland,216-566-2000,John G. Morikis,11856,1132.7,6753,1878
237,NGL Energy Partners,3200,Energy,Energy,"Tulsa, OK",Tulsa,918-481-1119,H. Michael Krimbill,11742,-198.9,5560,1656
238,Dominion Energy,16200,Energy,Utilities: Gas and Electric,"Richmond, VA",Richmond,804-819-2000,Thomas F. Farrell II,11737,2123,71610,14605
239,Ameriprise Financial,13195,Financials,Diversified Financials,"Minneapolis, MN",Minneapolis,612-671-3131,James M. Cracchiolo,11735,1314,139821,6292
240,ADP,57000,Business Services,Diversified Outsourcing Services,"Roseland, NJ",Roseland,973-974-5000,Carlos A. Rodriguez,11668,1492.5,43670,4482
241,Hilton Worldwide Holdings,169000,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts","McLean, VA",McLean,703-883-1000,Christopher J. Nassetta,11663,348,26211,5899
242,First Data,24000,Business Services,Financial Data Services,"Atlanta, GA",Atlanta,404-890-2000,Frank J. Bisignano,11584,420,40292,1220
243,Henry Schein,21000,Wholesalers,Wholesalers: Health Care,"Melville, NY",Melville,631-843-5500,Stanley M. Bergman,11572,506.8,6730,2793
244,Toys “R” Us,64000,Retailing,Specialty Retailers: Other,"Wayne, NJ",Wayne,973-617-3500,David A. Brandon,11540,-36,6908,-1292
245,BB&T Corp.,37500,Financials,Commercial Banks,"Winston-Salem, NC",Winston-Salem,336-733-2000,Kelly S. King,11538,2426,219276,29881
246,Reinsurance Group of America,2371,Financials,"Insurance: Life, Health (Stock)","Chesterfield, MO",Chesterfield,636-736-7000,Anna Manning,11522,701.4,53098,7093.1
247,Core-Mark Holding,7688,Wholesalers,Wholesalers: Food and Grocery,"South San Francisco, CA",South San Francisco,650-589-9445,Thomas B. Perkins,11507,54.2,1497,530
248,Biogen,7400,Health Care,Pharmaceuticals,"Cambridge, MA",Cambridge,617-679-2000,Michel Vounatsos,11449,3702.8,22877,12140
249,Las Vegas Sands,49000,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts","Las Vegas, NV",Las Vegas,702-414-1000,Sheldon G. Adelson,11410,1670,20469,6177
250,Stanley Black & Decker,54023,Household Products,"Home Equipment, Furnishings","New Britain, CT",New Britain,860-225-5111,James M. Loree,11407,965.3,15635,6367
251,Parker-Hannifin,48950,Industrials,Industrial Machinery,"Cleveland, OH",Cleveland,216-896-3000,Thomas L. Williams,11361,806.8,12057,4575
252,Stryker,33000,Health Care,Medical Products and Equipment,"Kalamazoo, MI",Kalamazoo,269-385-2600,Kevin A. Lobo,11325,1647,20435,9550
253,Estee Lauder,46000,Household Products,Household and Personal Products,"New York, NY",New York,212-572-4200,Fabrizio Freda,11262,1114.6,9223,3572
254,Celgene,7132,Health Care,Pharmaceuticals,"Summit, NJ",Summit,908-673-9000,Mark J. Alles,11229,1999.2,28086,6599
255,BlackRock,13000,Financials,Securities,"New York, NY",New York,212-810-5300,Laurence D. Fink,11155,3172,220177,29098
256,Xcel Energy,11476,Energy,Utilities: Gas and Electric,"Minneapolis, MN",Minneapolis,612-330-5500,Benjamin G.S. Fowke III,11107,1123.4,41155,11021
257,CSX,26628,Transportation,Railroads,"Jacksonville, FL",Jacksonville,904-359-3200,E. Hunter Harrison,11069,1714,35414,11679
258,Unum Group,9400,Financials,"Insurance: Life, Health (Stock)","Chattanooga, TN",Chattanooga,423-294-1011,Richard P. McKenney,11047,931.4,61942,8968
259,Jacobs Engineering Group,49350,Engineering & Construction,"Engineering, Construction","Dallas, TX",Dallas,214-583-8500,Steven J. Demetriou,10964,210.5,7360,4265
260,Lennar,8335,Engineering & Construction,Homebuilders,"Miami, FL",Miami,305-559-4000,Stuart A. Miller,10950,911.8,15362,7026
261,Group 1 Automotive,13500,Retailing,"Automotive Retailing, Services","Houston, TX",Houston,713-647-5700,Earl J. Hesterberg,10888,147.1,4462,930
262,Leucadia National,13000,Financials,Diversified Financials,"New York, NY",New York,212-460-1900,Richard B. Handler,10875,130,45071,10128
263,Entergy,13513,Energy,Utilities: Gas and Electric,"New Orleans, LA",New Orleans,504-576-4000,Leo P. Denault,10846,-583.6,45904,8082
264,PayPal Holdings,18100,Business Services,Financial Data Services,"San Jose, CA",San Jose,408-967-1000,Daniel H. Schulman,10842,1401,33103,14712
265,Applied Materials,16150,Technology,Semiconductors and Other Electronic Components,"Santa Clara, CA",Santa Clara,408-727-5555,Gary E. Dickerson,10825,1721,14588,7217
266,Voya Financial,6700,Financials,Diversified Financials,"New York, NY",New York,212-309-8200,Rodney O. Martin Jr.,10782,-428,214235,12994
267,Mastercard,11900,Business Services,Financial Data Services,"Purchase, NY",Purchase,914-249-2000,Ajay Banga,10776,4059,18675,5656
268,Priceline Group,18500,Technology,Internet Services and Retailing,"Norwalk, CT",Norwalk,203-299-8000,Glenn D. Fogel,10743,2135,19839,9820
269,Liberty Interactive,21080,Retailing,Internet Services and Retailing,"Englewood, CO",Englewood,720-875-5300,Gregory B. Maffei,10647,1235,20355,6772
270,AutoZone,66780,Retailing,Specialty Retailers: Other,"Memphis, TN",Memphis,901-495-6500,William C. Rhodes III,10636,1241,8600,-1788
271,State Street Corp.,33783,Financials,Commercial Banks,"Boston, MA",Boston,617-786-3000,Joseph L. Hooley,10635,2143,242698,21219
272,DTE Energy,10000,Energy,Utilities: Gas and Electric,"Detroit, MI",Detroit,313-235-4000,Gerard M. Anderson,10630,868,32041,9011
273,L3 Technologies,38000,Aerospace & Defense,Aerospace and Defense,"New York, NY",New York,212-697-1111,Michael T. Strianese,10597,710,11865,4553
274,HollyFrontier,2676,Energy,Petroleum Refining,"Dallas, TX",Dallas,214-871-3555,George J. Damiris,10536,-260.5,9436,4681
275,Praxair,26498,Chemicals,Chemicals,"Danbury, CT",Danbury,203-837-2000,Stephen F. Angel,10534,1500,19332,5021
276,Universal Health Services,70863,Health Care,Health Care: Medical Facilities,"King of Prussia, PA",King of Prussia,610-768-3300,Alan B. Miller,10508,702.4,10318,4533
277,Discover Financial Services,15549,Financials,Commercial Banks,"Riverwoods, IL",Riverwoods,224-405-0900,David W. Nelms,10497,2393,92308,11323
278,Occidental Petroleum,11000,Energy,"Mining, Crude-Oil Production","Houston, TX",Houston,713-215-7000,Vicki A. Hollub,10398,-574,43109,21497
279,United States Steel,29800,Materials,Metals,"Pittsburgh, PA",Pittsburgh,412-433-1121,David B. Burritt,10261,-440,9160,2274
280,Sempra Energy,16575,Energy,Utilities: Gas and Electric,"San Diego, CA",San Diego,619-696-2000,Debra L. Reed,10183,1370,47786,12951
281,Baxter International,48000,Health Care,Medical Products and Equipment,"Deerfield, IL",Deerfield,224-948-2000,Jose E. Almeida,10163,4965,15546,8290
282,W.W. Grainger,25000,Wholesalers,Wholesalers: Diversified,"Lake Forest, IL",Lake Forest,847-535-1000,D.G. Macpherson,10137,605.9,5694,1798
283,Autoliv,65900,Motor Vehicles & Parts,Motor Vehicles and Parts,"Auburn Hills, MI",Auburn Hills,248-475-9000,Jan Carlson,10074,567.1,8234,3677
284,Norfolk Southern,27856,Transportation,Railroads,"Norfolk, VA",Norfolk,757-629-2680,James A. Squires,9888,1668,34892,12409
285,Baker Hughes,33000,Energy,"Oil and Gas Equipment, Services","Houston, TX",Houston,713-439-8600,Martin S. Craighead,9841,-2738,19034,12656
286,Ally Financial,7600,Financials,Diversified Financials,"Detroit, MI",Detroit,866-710-4623,Jeffrey J. Brown,9835,1067,163728,13317
287,Sonic Automotive,9800,Retailing,"Automotive Retailing, Services","Charlotte, NC",Charlotte,704-566-2400,B. Scott Smith,9732,93.2,3639,725
288,Owens & Minor,7900,Wholesalers,Wholesalers: Health Care,"Mechanicsville, VA",Mechanicsville,804-723-7000,P. Cody Phipps,9723,108.8,2718,960
289,Huntsman,15000,Chemicals,Chemicals,"The Woodlands, TX",The Woodlands,281-719-6000,Peter R. Huntsman,9657,326,9189,1287
290,Laboratory Corp. of America,52000,Health Care,Health Care: Pharmacy and Other Services,"Burlington, NC",Burlington,336-229-1127,David P. King,9642,732.1,14247,5506
291,Murphy USA,6600,Retailing,Specialty Retailers: Other,"El Dorado, AR",El Dorado,870-875-7600,R. Andrew Clyde,9633,221.5,2089,697
292,Advance Auto Parts,57500,Retailing,Specialty Retailers: Other,"Roanoke, VA",Roanoke,540-362-4911,Thomas R. Greco,9568,459.6,8315,2916
293,Fidelity National Financial,55219,Financials,Insurance: Property and Casualty (Stock),"Jacksonville, FL",Jacksonville,904-854-8100,Raymond R. Quirk,9554,650,14463,5996
294,Air Products & Chemicals,18450,Chemicals,Chemicals,"Allentown, PA",Allentown,610-481-4911,Seifi Ghasemi,9524,631.1,18055,7080
295,Hormel Foods,21100,"Food, Beverages & Tobacco",Food Consumer Products,"Austin, MN",Austin,507-437-5611,James P. Snee,9523,890.1,6370,4448
296,Hertz Global Holdings,36000,Retailing,"Automotive Retailing, Services","Estero, FL",Estero,239-301-7000,Kathryn V. Marinello,9480,-491,19155,1075
297,MGM Resorts International,66500,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts","Las Vegas, NV",Las Vegas,702-693-7120,James J. Murren,9455,1101.4,28173,6220
298,Corning,40700,Industrials,"Electronics, Electrical Equipment","Corning, NY",Corning,607-974-9000,Wendell P. Weeks,9390,3695,27899,17893
299,Republic Services,33000,Business Services,Waste Management,"Phoenix, AZ",Phoenix,480-627-2700,Donald W. Slager,9388,612.6,20630,7691
300,Alcoa,14000,Materials,Metals,"New York, NY",New York,212-518-5400,Roy C. Harvey,9318,-400,16741,5654
301,Fidelity National Information Services,55000,Business Services,Financial Data Services,"Jacksonville, FL",Jacksonville,904-438-6000,Gary A. Norcross,9241,568,26031,9741
302,Pacific Life,3628,Financials,"Insurance: Life, Health (Stock)","Newport Beach, CA",Newport Beach,949-219-3011,James T. Morris,9169,824,143298,11022
303,SunTrust Banks,24375,Financials,Commercial Banks,"Atlanta, GA",Atlanta,800-786-8787,William H. Rogers Jr.,9161,1878,204875,23515
304,LKQ,42500,Wholesalers,Wholesalers: Diversified,"Chicago, IL",Chicago,312-621-1950,Dominick P. Zarcone,9082,464,8303,3442.9
305,BorgWarner,27000,Motor Vehicles & Parts,Motor Vehicles and Parts,"Auburn Hills, MI",Auburn Hills,248-754-9200,James R. Verrier,9071,118.5,8835,3218.3
306,Ball,18450,Materials,"Packaging, Containers","Broomfield, CO",Broomfield,303-469-3131,John A. Hayes,9061,263,16173,3435
306,CST Brands,12380,Retailing,Specialty Retailers: Other,"San Antonio, TX",San Antonio,210-692-5000,Kimberly S. Lubel,9061,324,4360,1229
306,Public Service Enterprise Group,13065,Energy,Utilities: Gas and Electric,"Newark, NJ",Newark,973-430-7000,Ralph Izzo,9061,887,40070,13130
309,Eastman Chemical,14000,Chemicals,Chemicals,"Kingsport, TN",Kingsport,423-229-2000,Mark J. Costa,9008,854,15457,4532
310,eBay,12600,Technology,Internet Services and Retailing,"San Jose, CA",San Jose,408-376-7400,Devin N. Wenig,8979,7266,23847,10539
311,Mohawk Industries,37800,Household Products,"Home Equipment, Furnishings","Calhoun, GA",Calhoun,706-629-7721,Jeffrey S. Lorberbaum,8959,930.4,10231,5777
312,Oneok,2384,Energy,Pipelines,"Tulsa, OK",Tulsa,918-588-7000,Terry K. Spencer,8921,352,16139,189
313,Frontier Communications,28332,Telecommunications,Telecommunications,"Norwalk, CT",Norwalk,203-614-5600,Daniel J. McCarthy,8896,-373,29013,4519
314,Netflix,3850,Technology,Internet Services and Retailing,"Los Gatos, CA",Los Gatos,408-540-3700,Reed Hastings,8831,186.7,13587,2680
315,American Family Insurance Group,10471,Financials,Insurance: Property and Casualty (Stock),"Madison, WI",Madison,608-249-2111,Jack C. Salzwedel,8829,325.6,22662,7760
316,Thrivent Financial for Lutherans,3282,Financials,"Insurance: Life, Health (Mutual)","Minneapolis, MN",Minneapolis,612-844-7000,Bradford L. Hewitt,8777,587.8,88561,7726
317,Expedia,20075,Technology,Internet Services and Retailing,"Bellevue, WA",Bellevue,425-679-7200,Dara Khosrowshahi,8774,281.8,15778,4132
318,Lithia Motors,11170,Retailing,"Automotive Retailing, Services","Medford, OR",Medford,541-776-6401,Bryan B. DeBoer,8678,197.1,3844,911
319,Avis Budget Group,25600,Retailing,"Automotive Retailing, Services","Parsippany, NJ",Parsippany,973-496-4700,Larry D. De Shon,8659,163,17643,221
320,Reliance Steel & Aluminum,14500,Materials,Metals,"Los Angeles, CA",Los Angeles,213-687-7700,Gregg J. Mollins,8613,304.3,7411,4149
321,GameStop,41750,Retailing,Specialty Retailers: Other,"Grapevine, TX",Grapevine,817-424-2000,J. Paul Raines,8608,353.2,4976,2254
322,Tenneco,31000,Motor Vehicles & Parts,Motor Vehicles and Parts,"Lake Forest, IL",Lake Forest,847-482-5000,Brian J. Kesseler,8599,363,4342,588
323,O’Reilly Automotive,58397,Retailing,Specialty Retailers: Other,"Springfield, MO",Springfield,417-862-6708,Gregory L. Henslee,8593,1037.7,7204,1627
324,Peter Kiewit Sons’,20000,Engineering & Construction,"Engineering, Construction","Omaha, NE",Omaha,402-342-2052,Bruce E. Grewcock,8573,396,6179,3268
325,United Natural Foods,9554,Wholesalers,Wholesalers: Food and Grocery,"Providence, RI",Providence,401-528-8634,Steven L. Spinner,8470,125.8,2852,1520
326,salesforce.com,25000,Technology,Computer Software,"San Francisco, CA",San Francisco,415-901-7000,Marc R. Benioff,8392,179.6,17585,7500
327,Boston Scientific,27000,Health Care,Medical Products and Equipment,"Marlborough, MA",Marlborough,508-683-4000,Michael F. Mahoney,8386,347,18096,6733
328,Newmont Mining,12438,Energy,"Mining, Crude-Oil Production","Greenwood Village, CO",Greenwood Village,303-863-7414,Gary J. Goldberg,8379,-627,21031,10721
329,Genworth Financial,3400,Financials,"Insurance: Life, Health (Stock)","Richmond, VA",Richmond,804-281-6000,Thomas J. McInerney,8369,-277,104658,12644
330,Live Nation Entertainment,11500,Media,Entertainment,"Beverly Hills, CA",Beverly Hills,310-867-7000,Michael Rapino,8355,2.9,6764,1126
331,Veritiv,8700,Wholesalers,Wholesalers: Diversified,"Atlanta, GA",Atlanta,770-391-8200,Mary A. Laschinger,8327,21,2484,542
332,News Corp.,24000,Media,"Publishing, Printing","New York, NY",New York,212-416-3400,Robert J. Thomson,8319,179,15483,11564
333,Crown Holdings,23992,Materials,"Packaging, Containers","Philadelphia, PA",Philadelphia,215-698-5100,Timothy J. Donahue,8284,496,9599,366
334,Global Partners,1770,Wholesalers,Wholesalers: Diversified,"Waltham, MA",Waltham,781-894-8800,Eric Slifka,8240,-199.4,2564,393
335,PVH,26650,Apparel,Apparel,"New York, NY",New York,212-381-3500,Emanuel Chirico,8203,549,11068,4805
336,Level 3 Communications,12600,Telecommunications,Telecommunications,"Broomfield, CO",Broomfield,720-888-1000,Jeffrey K. Storey,8172,677,24888,10917
337,Navistar International,11300,Industrials,Construction and Farm Machinery,"Lisle, IL",Lisle,331-332-5000,Troy A. Clarke,8111,-97,5653,-5298
338,Univar,8700,Wholesalers,Wholesalers: Diversified,"Downers Grove, IL",Downers Grove,331-777-6000,Stephen D. Newlin,8074,-68.4,5390,810
339,Campbell Soup,16500,"Food, Beverages & Tobacco",Food Consumer Products,"Camden, NJ",Camden,856-342-4800,Denise M. Morrison,7961,563,7837,1525
340,Dick’s Sporting Goods,27550,Retailing,Specialty Retailers: Other,"Coraopolis, PA",Coraopolis,724-273-3400,Edward W. Stack,7922,287.4,4058,1930
341,Weyerhaeuser,10400,Materials,Forest and Paper Products,"Seattle, WA",Seattle,206-539-3000,Doyle R. Simons,7902,1027,19243,9180
342,Mutual of Omaha Insurance,5732,Financials,"Insurance: Life, Health (Stock)","Omaha, NE",Omaha,402-342-7600,James T. Blackledge,7899,356.6,38465,5618
343,Chesapeake Energy,3300,Energy,"Mining, Crude-Oil Production","Oklahoma City, OK",Oklahoma City,405-848-8000,Robert D. Lawler,7872,-4401,13028,-1460
344,Anadarko Petroleum,4500,Energy,"Mining, Crude-Oil Production","The Woodlands, TX",The Woodlands,832-636-1000,R. A. Walker,7869,-3071,45564,12212
345,Interpublic Group,49800,Business Services,"Advertising, Marketing","New York, NY",New York,212-704-1200,Michael I. Roth,7847,608.5,12485,2017
346,J.M. Smucker,6910,"Food, Beverages & Tobacco",Food Consumer Products,"Orrville, OH",Orrville,330-682-3000,Mark T. Smucker,7811,688.7,15984,7009
347,Steel Dynamics,7695,Materials,Metals,"Fort Wayne, IN",Fort Wayne,260-969-3500,Mark D. Millett,7777,382.1,6424,2927
348,Foot Locker,32965,Retailing,Specialty Retailers: Apparel,"New York, NY",New York,212-720-3700,Richard A. Johnson,7766,664,3840,2710
349,Western Refining,7134,Energy,Petroleum Refining,"El Paso, TX",El Paso,915-534-1400,Gregory J. Goff,7743,124.9,5560,1697
350,SpartanNash,11500,Wholesalers,Wholesalers: Food and Grocery,"Byron Center, MI",Byron Center,616-878-2000,David M. Staples,7735,56.8,1930,825
351,Dean Foods,17000,"Food, Beverages & Tobacco",Food Consumer Products,"Dallas, TX",Dallas,214-303-3400,Ralph P. Scozzafava,7710,119.9,2606,611
352,Zimmer Biomet Holdings,18500,Health Care,Medical Products and Equipment,"Warsaw, IN",Warsaw,574-267-6131,David C. Dvorak,7684,305.9,26684,9669
353,PulteGroup,4623,Engineering & Construction,Homebuilders,"Atlanta, GA",Atlanta,404-978-6400,Ryan R. Marshall,7669,602.7,10178,4659
354,W.R. Berkley,7608,Financials,Insurance: Property and Casualty (Stock),"Greenwich, CT",Greenwich,203-629-3000,W. Robert Berkley Jr.,7654,601.9,23365,5047
355,Quanta Services,28100,Engineering & Construction,"Engineering, Construction","Houston, TX",Houston,713-629-7600,Earl C. Austin Jr.,7651,198.4,5354,3339
356,EOG Resources,2650,Energy,"Mining, Crude-Oil Production","Houston, TX",Houston,713-651-7000,William R. Thomas,7651,-1096.7,29459,13982
357,Charles Schwab,16200,Financials,Securities,"San Francisco, CA",San Francisco,415-667-7000,Walter W. Bettinger II,7644,1889,223383,16421
358,Eversource Energy,7762,Energy,Utilities: Gas and Electric,"Springfield, MA",Springfield,800-286-5000,James J. Judge,7639,942.3,32053,10712
359,Anixter International,8900,Wholesalers,Wholesalers: Electronics and Office Equipment,"Glenview, IL",Glenview,224-521-8000,Robert J. Eck,7625,120.5,4094,1292
360,EMCOR Group,31000,Engineering & Construction,"Engineering, Construction","Norwalk, CT",Norwalk,203-849-7800,Anthony J. Guzzi,7552,181.9,3894,1537
361,Assurant,14700,Financials,Insurance: Property and Casualty (Stock),"New York, NY",New York,212-859-7000,Alan B. Colberg,7532,565.4,29709,4098
362,CenterPoint Energy,7727,Energy,Utilities: Gas and Electric,"Houston, TX",Houston,713-207-1111,Scott M. Prochazka,7528,432,21829,3460
363,Harris,21000,Technology,Network and Other Communications Equipment,"Melbourne, FL",Melbourne,321-727-9100,William M. Brown,7527,324,11996,3056
364,HD Supply Holdings,14000,Wholesalers,Wholesalers: Diversified,"Atlanta, GA",Atlanta,770-852-9000,Joseph J. DeAngelo,7524,196,5707,960
365,PPL,12689,Energy,Utilities: Gas and Electric,"Allentown, PA",Allentown,610-774-5151,William H. Spence,7517,1902,38315,9899
366,Quest Diagnostics,43000,Health Care,Health Care: Pharmacy and Other Services,"Madison, NJ",Madison,973-520-2700,Stephen H. Rusckowski,7515,645,10100,4628
367,Williams,5604,Energy,Energy,"Tulsa, OK",Tulsa,918-573-2000,Alan S. Armstrong,7499,-424,46835,4643
368,WEC Energy Group,8074,Energy,Utilities: Gas and Electric,"Milwaukee, WI",Milwaukee,414-221-2345,Allen L. Leverett,7472,939,30123,8930
369,Hershey,17140,"Food, Beverages & Tobacco",Food Consumer Products,"Hershey, PA",Hershey,717-534-4200,Michele G. Buck,7440,720,5524,786
370,AGCO,19795,Industrials,Construction and Farm Machinery,"Duluth, GA",Duluth,770-813-9200,Martin H. Richenhagen,7411,160.1,7168,2776
371,Ralph Lauren,20500,Apparel,Apparel,"New York, NY",New York,212-318-7000,Patrice Louvet,7405,396,6213,3744
372,Masco,26000,Household Products,"Home Equipment, Furnishings","Taylor, MI",Taylor,313-274-7400,Keith J. Allman,7357,491,5137,-298
373,WESCO International,9000,Wholesalers,Wholesalers: Diversified,"Pittsburgh, PA",Pittsburgh,412-454-2200,John J. Engel,7336,101.6,4491,2013
374,LifePoint Health,47000,Health Care,Health Care: Medical Facilities,"Brentwood, TN",Brentwood,615-920-7000,William F. Carpenter III,7274,121.9,6319,2180
375,National Oilwell Varco,36384,Energy,"Oil and Gas Equipment, Services","Houston, TX",Houston,713-346-7500,Clay C. Williams,7251,-2412,21140,13940
376,Kindred Healthcare,76650,Health Care,Health Care: Medical Facilities,"Louisville, KY",Louisville,502-596-7300,Benjamin A. Breier,7227,-664.2,6113,813
